corpus_id	doi	title	authors	lineage	full_text_status	source_status	current_platform_status	problem_family	next_gate
Y36	10.1109/jas.2026.126233	Transformer Autoencoder-Assisted Evolutionary Framework for Constrained Multiobjective 3D Wind Farm Layout Optimization	Yuhang Ma; Shangce Gao; Anqi Pan; Bo Shen	Gao	validated_complete	not_yet_audited	queued	constrained_multiobjective_3d	R0_source_license
L0608	10.1109/pic62406.2024.10892732	A Novel Adaptive LSHADE Algorithm for Wind Farm Layout Optimization with Complex Wake Effect	Jiatianyi Yu; Baohang Zhang; Qianhang Du; W. W. Wang; Zhenyu Lei; Shangce Gao	Gao	validated_complete	not_yet_audited	queued	complex_wake	R0_source_license
T42	10.1016/j.energy.2024.134050	Reinforcement Learning-Based Particle Swarm Optimization for Wind Farm Layout Problems	Zihang Zhang; Jiayi Li; Zhenyu Lei; Qianyu Zhu; Jiujun Cheng; Shangce Gao	Gao	validated_complete	public_source_link_registered	queued	common_and_complex_wflop	R0_license_hash
T37	10.1016/j.enconman.2022.116174	An Adaptive Replacement Strategy-Incorporated Particle Swarm Optimizer for Wind Farm Layout Optimization	Zhenyu Lei; Shangce Gao; Yirui Wang; Yang Yu; Lijun Guo	Gao	validated_complete	source_and_paper_audited	current_cpp_admitted	fode_e0_common	formal_receipt_sync
T45	10.1016/j.swevo.2025.102018	Multi-Attention-Powered Learning Genetic Algorithm for Real-World 3D Wind Farm Layout Optimization	Jiaru Yang; Yaotong Song; Weiping Ding; Jun Tang; Zhenyu Lei; Shangce Gao	Gao	validated_complete	not_yet_audited	queued	real_world_3d	R0_source_license
T38	10.1016/j.asoc.2023.110306	A Chaotic Local Search-Based LSHADE with Enhanced Memory Storage Mechanism for Wind Farm Layout Optimization	Yang Yu; Tengfei Zhang; Zhenyu Lei; Yirui Wang; Haichuan Yang; Shangce Gao	Gao	validated_complete	no_public_author_source_paper_derived	current_cpp_admitted	fode_e0_common	formal_receipt_sync
T39	10.1016/j.engappai.2023.106198	An Improved Spherical Evolution with Enhanced Exploration Capabilities to Address Wind Farm Layout Optimization Problem	Haichuan Yang; Shangce Gao; Zhenyu Lei; Jiayi Li; Yang Yu; Yirui Wang	Gao	validated_complete	no_public_author_source_paper_derived	current_cpp_admitted	fode_e0_common	formal_receipt_sync
T46	10.1016/j.swevo.2025.101972	Probabilistic Bootstrap-Based Evolutionary Algorithm for Three-Objective Wind Farm Turbine Position Optimization	Chen Zhang; Haotian Li; Xiuxian Li; Jiujun Cheng; Zhenyu Lei; Shangce Gao	Gao	validated_complete	local_asset_to_audit	queued	three_objective	R0_license_hash
S04	10.3390/math13182935	A Reinforcement Learning-Assisted Fractional-Order Differential Evolution for Solving Wind Farm Layout Optimization Problems	Yiliang Wang; Yifei Yang; Sichen Tao; Lianzhi Qi; Hao Shen	Tao	validated_complete	local_asset_to_audit	queued	fode_e0_common	R0_license_hash
S03	10.3390/math13020282	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	Sichen Tao; Sicheng Liu; Ruihan Zhao; Yifei Yang; Hiroyoshi Todo; Haichuan Yang	Tao	validated_complete	source_and_paper_audited	current_cpp_admitted	fode_e0_common	formal_receipt_sync
