pair_id	corpus_id	role	algorithm_id	method_semantic_id	problem_id	problem_semantic_id	paper_protocol_id	native_asset	implementation_status	analysis_id	analysis_path	analysis_sha256	validation_status	theory_status
Y36__taae_transformer_evolution_declared_reconstruction_v1__taae_zhangbei_structured_declared_proxy_v1__target	Y36	target	taae_transformer_evolution_declared_reconstruction_v1	taae_transformer_evolution_declared_reconstruction_v1	taae_zhangbei_structured_declared_proxy_v1	taae_zhangbei_structured_declared_proxy_v1	ma2026_native_25_v1	shared/contracts/taae_zhangbei_structured_declared_proxy_cases.json	executable_baseline	hpc_analysis__Y36__taae_transformer_evolution_declared_reconstruction_v1__taae_zhangbei_structured_declared_proxy_v1__target__v1	hpc/paper_packages/Y36/analysis/y36_taae_transformer_evolution_declared_reconstruction_v1_taae_zhangbei_structured_declared_proxy_v1_target_hpc_analysis.json	795aec6ba17055aa24f050df5123a9d7a5a0d9b2e5cffea197573ddf00138df9	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
Y36__nsgaii__taae_zhangbei_structured_declared_proxy_v1__comparator	Y36	comparator	nsgaii	nsgaii_paper_comparator_reconstruction_v1	taae_zhangbei_structured_declared_proxy_v1	taae_zhangbei_structured_declared_proxy_v1	ma2026_native_25_v1	shared/contracts/taae_zhangbei_structured_declared_proxy_cases.json	planned_missing_native_comparator	hpc_analysis__Y36__nsgaii__taae_zhangbei_structured_declared_proxy_v1__comparator__v1	hpc/paper_packages/Y36/analysis/y36_nsgaii_taae_zhangbei_structured_declared_proxy_v1_comparator_hpc_analysis.json	bc6067df8e330a3afd844432a920b8fde2253e190cb2c83d353e78944f9728fd	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
Y36__moead__taae_zhangbei_structured_declared_proxy_v1__comparator	Y36	comparator	moead	moead_paper_comparator_reconstruction_v1	taae_zhangbei_structured_declared_proxy_v1	taae_zhangbei_structured_declared_proxy_v1	ma2026_native_25_v1	shared/contracts/taae_zhangbei_structured_declared_proxy_cases.json	planned_missing_native_comparator	hpc_analysis__Y36__moead__taae_zhangbei_structured_declared_proxy_v1__comparator__v1	hpc/paper_packages/Y36/analysis/y36_moead_taae_zhangbei_structured_declared_proxy_v1_comparator_hpc_analysis.json	fac754eae2a57a9b0d0b298b82aa9c120c224322dfc59f69910492f8674a90ce	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__alshade__alshade_complex_wake_117_v1__target	L0608	target	alshade	alshade_paper_derived_e0_physical_fes_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__alshade__alshade_complex_wake_117_v1__target__v1	hpc/paper_packages/L0608/analysis/l0608_alshade_alshade_complex_wake_117_v1_target_hpc_analysis.json	3874510b6fcc8bff858450999c4025ff3a0993302cc5b6f092030202093dd8f5	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__aga__alshade_complex_wake_117_v1__comparator	L0608	comparator	aga	aga_paper_first_e0_physical_fes_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__aga__alshade_complex_wake_117_v1__comparator__v1	hpc/paper_packages/L0608/analysis/l0608_aga_alshade_complex_wake_117_v1_comparator_hpc_analysis.json	acd12713f3678ccae4e114639ad97ac3abdc1d0a5ad9e3bef08cabe05384b024	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__algsa__alshade_complex_wake_117_v1__comparator	L0608	comparator	algsa	algsa_archived_source_reconstruction_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__algsa__alshade_complex_wake_117_v1__comparator__v1	hpc/paper_packages/L0608/analysis/l0608_algsa_alshade_complex_wake_117_v1_comparator_hpc_analysis.json	c8c0d701feeedb7085fb74ce6d69ec4049eac8b29ba8a1a42a382ca755ec6d20	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__sugga__alshade_complex_wake_117_v1__comparator	L0608	comparator	sugga	sugga_frozen_surrogate_e0_physical_fes_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__sugga__alshade_complex_wake_117_v1__comparator__v1	hpc/paper_packages/L0608/analysis/l0608_sugga_alshade_complex_wake_117_v1_comparator_hpc_analysis.json	c57e79f501e30d37047c1ca47fb98a3b7ebd37b7ae8b8c0529e3e9c84ad374fb	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__lshade__alshade_complex_wake_117_v1__comparator	L0608	comparator	lshade	lshade_paper_first_e0_physical_fes_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__lshade__alshade_complex_wake_117_v1__comparator__v1	hpc/paper_packages/L0608/analysis/l0608_lshade_alshade_complex_wake_117_v1_comparator_hpc_analysis.json	fa69ff5a5e24b211026979c0040166b0b9258a3eab4cc69ff760f67b6fb273a3	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__cjade__alshade_complex_wake_117_v1__comparator	L0608	comparator	cjade	cjade_archived_source_reconstruction_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__cjade__alshade_complex_wake_117_v1__comparator__v1	hpc/paper_packages/L0608/analysis/l0608_cjade_alshade_complex_wake_117_v1_comparator_hpc_analysis.json	a68ab2a2dc0084474203a060fdb08821938c41a9ff711004eafebdaa373a4dbc	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
L0608__clpso__alshade_complex_wake_117_v1__comparator	L0608	comparator	clpso	clpso_archived_source_reconstruction_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	hpc_analysis__L0608__clpso__alshade_complex_wake_117_v1__comparator__v1	hpc/paper_packages/L0608/analysis/l0608_clpso_alshade_complex_wake_117_v1_comparator_hpc_analysis.json	72190b304f58a6377af8123c534439f9e63d72a16a5b016db889aaa702c2293a	pending_h5_h6	draft_h0_h4_scaffold_unadmitted
