corpus_id	doi	method	executable_id	problem_profile	original_reproduction_status	r0_status	r1_status	r2_status	r3_status	r4_status	campaign_id	claim_boundary	evidence_paths
Y36	10.1109/jas.2026.126233	TAAE	taae	ma2026_cmo_3d	blocked_original_r1_r2	pass	blocked	blocked	blocked	blocked	none	No executable author-method identity until Zhangbei arrays and deterministic Transformer state are available	docs/author_lineage_registry.tsv;docs/problem_package_registry.tsv;shared/contracts/remaining_heterogeneous_reproducibility.json;shared/contracts/blocked_learning_methods_execution_guard.json
L0608	10.1109/pic62406.2024.10892732	A-LSHADE	alshade	fode_e0_common	algorithm_transfer_only	pass	pass_transfer	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Algorithm transfer on FODE-E0-L; no claim of reproducing the unpublished complex-wake cases	shared/contracts/paper_implementation_ledger.tsv;docs/semantic_discrepancy_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T42	10.1016/j.energy.2024.134050	RPSO	rlpso	rpso2024_source_problem_ws1_ws4	problem_admitted_algorithm_blocked_r2	pass	pass_source_problem	blocked	pass_problem_development	blocked	none	The four-scenario problem is admitted independently; the unseeded online PPO lifecycle and hidden physical evaluations are not a formal method identity	docs/source_asset_registry.tsv;docs/problem_package_registry.tsv;docs/semantic_discrepancy_ledger.tsv;shared/contracts/paper_implementation_ledger.tsv;shared/contracts/rpso_source_problem_execution_contract.json;evidence/development/rpso_source_problem_admission_spark_20260729.json;shared/contracts/blocked_learning_methods_execution_guard.json
T37	10.1016/j.enconman.2022.116174	AGPSO	agpso	fode_e0_common	admitted_common_problem	pass	pass	pass	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper-staged parallel AGPSO on the frozen common benchmark	shared/contracts/algorithm_semantics.json;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T45	10.1016/j.swevo.2025.102018	ALGA	alga	yang2025_real_world_3d	blocked_original_r1_r2	pass	blocked	blocked	blocked	blocked	none	No random attention model may be reported as ALGA	docs/author_lineage_registry.tsv;docs/problem_package_registry.tsv;shared/contracts/remaining_heterogeneous_reproducibility.json;shared/contracts/blocked_learning_methods_execution_guard.json
T38	10.1016/j.asoc.2023.110306	CLSHADE	clshade	fode_e0_common	admitted_common_problem	pass	pass	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper-derived executable state machine on the frozen common benchmark	shared/contracts/algorithm_semantics.json;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T39	10.1016/j.engappai.2023.106198	ISE	ise	fode_e0_common	admitted_common_problem	pass	pass	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	ISE is the canonical method name; LSE is rejected as a stale alias	shared/contracts/algorithm_semantics.json;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T46	10.1016/j.swevo.2025.101972	MOEA/D-P	moead_p	zhang2025_three_objective	paper_repaired_profile	pass	pass_repaired	pass	pass_development	pending_waffle	pbea_six_algorithm_waffle_v1	Three-objective paper-repaired profile; PBEA is only the local package shorthand	docs/problem_package_registry.tsv;shared/contracts/pbea_problem_semantics.json;shared/contracts/pbea_execution_contract.json;formal/contracts/pbea_six_algorithm_waffle_v1.json
S04	10.3390/math13182935	FQFODE	rlfode	fode_e0_common	blocked_original_r2	pass	pass	blocked	blocked	blocked	none	Four pretrained Q-tables are required method state and may not be invented	docs/semantic_discrepancy_ledger.tsv;shared/contracts/paper_implementation_ledger.tsv;shared/contracts/blocked_learning_methods_execution_guard.json
S03	10.3390/math13020282	FODE	fode	fode_e0_common	admitted_common_problem	pass	pass	pass	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Canonical FODE-E0-L pure C++ HPC profile under exact complete-layout work	shared/contracts/benchmark_contract.json;shared/contracts/algorithm_semantics.json;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
S05	10.2139/ssrn.6135326	WFADDE	wfadde	fode_e0_common	algorithm_transfer_only	pass	pass_transfer	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Preprint-derived algorithm transfer; original scenario files remain unavailable	shared/contracts/paper_implementation_ledger.tsv;docs/semantic_discrepancy_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T41	10.1007/s42235-024-00498-3	AIGA	aiga	fode_e0_common	admitted_reconstruction	pass	pass	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper equations plus ledgered conventional controls on the common benchmark	shared/contracts/paper_implementation_ledger.tsv;docs/semantic_discrepancy_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T47	10.1145/3766671.3766786	CIGA	ciga	fode_e0_common	admitted_reconstruction	pass	pass	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper equations plus same-lineage GA controls on the common benchmark	shared/contracts/paper_implementation_ledger.tsv;docs/semantic_discrepancy_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
S01	10.3390/math12233762	CEDE	cede	fode_e0_common	admitted_common_problem	pass	pass	pass_discrepancy_registered	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper-first canonical profile; source differences remain separately registered	docs/source_asset_registry.tsv;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
S02	10.3390/electronics13163196	MS-SHADE	msshade	fode_e0_common	admitted_common_problem	pass	pass	pass_discrepancy_registered	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper-first canonical profile; source differences remain separately registered	docs/source_asset_registry.tsv;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
Y34	10.1049/cit2.70150	LSDE	lsde	fode_e0_common	algorithm_transfer_only	pass	pass_transfer	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Algorithm transfer only; the original 15 by 15 wind arrays are not machine-readable	shared/contracts/paper_implementation_ledger.tsv;docs/semantic_discrepancy_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
T44	10.1016/j.energy.2025.137885	BDE	bde	bde2025_source_replay_ws1_ws4	official_source_four_scenario_replay	pass	pass_source_replay	pass_discrepancy_registered	pass_development	pending_waffle	bde_source_replay_waffle_v1	Official-source WS1-WS4 replay with 231 m spacing; no claim of reproducing missing paper WS5/WS6	docs/source_asset_registry.tsv;shared/contracts/paper_implementation_ledger.tsv;docs/semantic_discrepancy_ledger.tsv;evidence/development/bde_official_source_problem_audit_20260729.json;evidence/development/bde_source_replay_campaign_admission_spark_20260729.json;shared/contracts/bde_source_replay_execution_contract.json;formal/contracts/bde_source_replay_waffle_v1.json
T43	10.1109/jas.2025.125351	PPGA	ppga	fode_e0_common	algorithm_transfer_original_blocked_r1_r2	pass	pass_transfer	pass_reconstruction	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Declared two-dimensional transfer; no claim of reproducing the Nantong 3D study	shared/contracts/ppga_fode_e0_transfer_execution_contract.json;shared/contracts/remaining_heterogeneous_reproducibility.json;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
Y06	10.1016/j.apenergy.2026.127895	GGA	gga	gga2026_layout_cable	official_source_repaired_profile	pass	pass_repaired	pass_repaired	pass_development	pending_waffle	offshore_cpp_hpc_waffle_v1	Paper and official-source-derived repaired profile with all repairs disclosed	docs/source_asset_registry.tsv;docs/problem_package_registry.tsv;shared/contracts/gga_execution_contract.json;formal/contracts/offshore_cpp_hpc_waffle_v1.json
T36	10.1109/cpeee69412.2026.11521465	T-MOEA	tmoea	nysted_gga_asset_reconstruction	reconstruction_original_blocked_r1_r2	pass	pass_reconstruction	pass_reconstruction	pass_development	pending_waffle	offshore_cpp_hpc_waffle_v1	Same-author Nysted reconstruction under a distinct identifier; no original-study reproduction claim	shared/contracts/remaining_heterogeneous_reproducibility.json;shared/contracts/tmoea_nysted_reconstruction_execution_contract.json;docs/problem_package_registry.tsv;formal/contracts/offshore_cpp_hpc_waffle_v1.json
L0726	10.1109/cbd69312.2025.00059	GeoGA	geoga	admitted_gga_problem_asset_proxy	proxy_original_blocked_r1	pass	pass_proxy	pass_reconstruction	pass_development	pending_waffle	offshore_cpp_hpc_waffle_v1	GeoGA operators on admitted GGA assets; no Anholt reproduction claim	shared/contracts/remaining_heterogeneous_reproducibility.json;shared/contracts/geoga_reconstruction_execution_contract.json;docs/problem_package_registry.tsv;formal/contracts/offshore_cpp_hpc_waffle_v1.json
T40	10.1109/jas.2023.123387	CGPSO	cgpso	fode_e0_common	admitted_common_problem	pass	pass	pass	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper-staged parallel CGPSO on the frozen common benchmark	shared/contracts/algorithm_semantics.json;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
Y35	10.26599/tst.2026.9010059	HGPSO	hgpso	fode_e0_common	admitted_common_problem	pass	pass	pass_discrepancy_registered	pass_development	pending_waffle	eighteen_algorithm_cpp_hpc_waffle_v1	Paper-first hierarchical staged-parallel profile under exact complete-layout work	docs/source_asset_registry.tsv;shared/contracts/paper_implementation_ledger.tsv;evidence/development/formal_campaign_runner_admission_spark_20260729.json;formal/contracts/eighteen_algorithm_cpp_hpc_waffle_v1.json
