corpus_id	role	reading_tier	primary_review_class	secondary_review_classes	year	title	authors	venue	doi	pdf_basename	pdf_sha256	primary_asset_status	scope_status	target_contribution_type	target_method_or_driver	target_problem_or_model	method_semantic_id	problem_semantic_id	paper_protocol_id	execution_wave	package_status	claim_boundary
T02	D	KEY40	REV1	REV3	2005	Placement of Wind Turbines Using Genetic Algorithms	S.A. Grady and M.Y. Hussaini and M.M. Abdullah	Renewable Energy	10.1016/j.renene.2004.05.007	2005_Grady_Placement_of_Wind_Turbines_Using_Genetic_Algorithms.pdf	60bc334ac545d4b048a7c7ecacd3332f6cad965a40dbb5c95e37c6a6d749a5d4	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	Grady independent-island binary GA	Mosetti-Grady 10x10 Jensen historical grid	t02_grady_island_ga_declared_v1	core99_mosetti_grady_historical_grid_v1	t02_grady_A_B_C_body_and_abstract_25repeat_v1	REV1	formal_complete	academic paper-equation reconstruction with explicit radius and Case-C protocol conflicts; no author-source or author-exact numerical claim
R06	R	KEY40	REV1	REV2	2016	Wake Effect Modeling: A Review of Wind Farm Layout Optimization Using Jensen's Model	Rabia Shakoor and Mohammad Yusri Hassan and Abdur Raheem and Yuan-Kang Wu	Renewable and Sustainable Energy Reviews	10.1016/j.rser.2015.12.229	2016_Shakoor_Wake_Effect_Modeling_A_Review_of_Wind_Farm_Layout_Optimization_Using_Jensen_s_Model.pdf	d56fbce6442f79f3de556fe5f154952289316b30b1a25b33381fa7257e41f206	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r06_review_evidence_v1	not_applicable	r06_review_evidence_v1	r06_review_protocol_v1	REV1	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
T03	D	CORE-SUPPORT	REV1	NONE	2010	Design of Wind Farm Layout for Maximum Wind Energy Capture	Andrew Kusiak and Zhe Song	Renewable Energy	10.1016/j.renene.2009.08.019	2010_Kusiak_Design_of_Wind_Farm_Layout_for_Maximum_Wind_Energy_Capture.pdf	929acaea729ee193363563f301664a879e9bd04f7d4623efc81f03d831c0b482	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	Kusiak strength-Pareto evolution strategy	circular fixed-count 2-6 turbine expected-power WFLOP	t03_kusiak_spea_es_declared_v1	t03_kusiak_circular_expected_power_v1	t03_kusiak_2scenario_5count_25repeat_v1	REV1	formal_complete	academic paper-equation reconstruction with declared SPEA edge-case completion; no author-source or author-exact numerical claim
T01	D	KEY40	REV1	REV3	1994	Optimization of Wind Turbine Positioning in Large Windfarms by Means of a Genetic Algorithm	G. Mosetti and C. Poloni and B. Diviacco	Journal of Wind Engineering and Industrial Aerodynamics	10.1016/0167-6105(94)90080-9	1994_Mosetti_Optimization_of_Wind_Turbine_Positioning_in_Large_Windfarms_by_Means_of_a_Genetic_Algorithm.pdf	3b385bf813ef0ea1e26af985a759ca7d2411d516f582b15f5b7fa264a6bd0e40	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	Mosetti binary genetic algorithm	Mosetti 10x10 Jensen historical cases A-B-C	t01_mosetti_ga_declared_v1	core99_mosetti_grady_historical_grid_v1	t01_mosetti_A_B_C_25repeat_v1	REV1	formal_complete	academic paper-equation reconstruction with registered partial-wake and GA-control completions; no author-source or author-exact numerical claim
T04	D	KEY40	REV1	NONE	2012	Unrestricted Wind Farm Layout Optimization: Investigating Key Factors Influencing the Maximum Power Generation	Souma Chowdhury and Jie Zhang and Achille Messac and Luciano Castillo	Renewable Energy	10.1016/j.renene.2011.06.033	2012_Chowdhury_Unrestricted_Wind_Farm_Layout_Optimization_Investigating_Key_Factors_Influencing_the_Maximum_Power_Generation.pdf	978721c33e7cfa4f9d9e0d9bd83fff0a081f9eec24f50ee2b65e29dbd2d4e244	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	UWFLO constrained particle swarm optimizer	continuous layout and variable-rotor UWFLO case suite	t04_uwflo_constrained_pso_declared_v1	t04_uwflo_cases_declared_v1	t04_uwflo_12case_25repeat_v1	REV1	formal_complete	academic paper-equation reconstruction with original-layout magnitude validation and registered spacing completion; no author-source claim
T22	D	KEY40	REV1	REV3	2023	A Comparison of Eight Optimization Methods Applied to a Wind Farm Layout Optimization Problem	Jared J. Thomas and Nicholas F. Baker and Paul Malisani and Erik Quaeghebeur and Sebastian Sanchez Perez-Moreno and John Jasa and Christopher Bay and Federico Tilli and David Bieniek and Nick Robinson and Andrew P. J. Stanley and Wesley Holt and Andrew Ning	Wind Energy Science	10.5194/wes-8-865-2023	2023_Thomas_A_Comparison_of_Eight_Optimization_Methods_Applied_to_a_Wind_Farm_Layout_Optimization_Problem.pdf	cd11bacbe4446a32a7d1c8bc7a2560ed2201597f6f8a894f51bbaff4f678a786	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	pending_full_text_contract	pending_full_text_contract	t22_method_pending_contract	t22_problem_pending_contract	t22_protocol_pending_contract	REV1	queued_full_text_contract	scope and primary PDF verified; scientific contract pending paper/source reconciliation
T14	D	CORE-SUPPORT	REV1	REV5	2019	Massive Simplification of the Wind Farm Layout Optimization Problem	Andrew P. J. Stanley and Andrew Ning	Wind Energy Science	10.5194/wes-4-663-2019	2019_Stanley_Massive_Simplification_of_the_Wind_Farm_Layout_Optimization_Problem.pdf	37f4b2804490f22bd46bb8e67fa318363f80bcfc67ddb521ee8406ebaf339c11	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	boundary-grid variable-reduction parameterization	seven spacing, wind-rose and equal-area boundary WFLOP cases	t14_boundary_grid_parameterization_v1	t14_stanley_2019_seven_unique_cases_v1	t14_seven_case_three_representation_100start_v1	REV1	formal_complete	academic declared reproduction of the target parameterization and paper-native protocol using a registered deterministic parallel optimizer; no author-SNOPT or exact numerical replay claim
R03	R	KEY40	REV1	NONE	2014	A Review and Recent Developments in the Optimal Wind-Turbine Micro-Siting Problem	Javier Serrano González and Manuel Burgos Payán and Jesús Manuel Riquelme Santos and Francisco González-Longatt	Renewable and Sustainable Energy Reviews	10.1016/j.rser.2013.09.027	2014_Gonzalez_A_Review_and_Recent_Developments_in_the_Optimal_Wind_Turbine_Micro_Siting_Problem.pdf	4ecb047778b463800afa4cf34c7f50bb1760521d7908724060fa749f2d4e7d88	local_primary_pdf_hashed	review_evidence_package	review_evidence_taxonomy_and_protocol	not_applicable	r03_review_evidence_v1	not_applicable	r03_review_evidence_v1	r03_review_protocol_v1	REV1	queued_evidence_dossier	review evidence and taxonomy package; no invented optimizer
T12	D	KEY40	REV1	NONE	2018	Evolutionary Computation for Wind Farm Layout Optimization	Dennis Wilson and Silvio Rodrigues and Carlos Segura and Ilya Loshchilov and Frank Hutter and Guillermo López Buenfil and Ahmed Kheiri and Ed Keedwell and Mario Ocampo-Pineda and Ender Özcan and Sergio Ivvan Valdez Peña and Brian Goldman and Salvador Botello Rionda and Arturo Hernández-Aguirre and Kalyan Veeramachaneni and Sylvain Cussat-Blanc	Renewable Energy	10.1016/j.renene.2018.03.052	2018_Wilson_Evolutionary_Computation_for_Wind_Farm_Layout_Optimization.pdf	b5ca7e653598092defe0f91c6c48d0ca8c0832f097f0b389c289287a1d53ddd5	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	pending_full_text_contract	pending_full_text_contract	t12_method_pending_contract	t12_problem_pending_contract	t12_protocol_pending_contract	REV1	queued_full_text_contract	scope and primary PDF verified; scientific contract pending paper/source reconciliation
T15	D	KEY40	REV1	REV2,REV3	2019	Best Practices for Wake Model and Optimization Algorithm Selection in Wind Farm Layout Optimization	Nicholas F. Baker and Andrew P. Stanley and Jared J. Thomas and Andrew Ning and Katherine Dykes	AIAA SciTech 2019 Forum	10.2514/6.2019-0540	2019_Baker_Best_Practices_for_Wake_Model_and_Optimization_Algorithm_Selection_in_Wind_Farm_Layout_Optimization.pdf	94bf1070222d01cb8ad1875da47919fac4e0d3e6f59425a1aa25dddc7420dcfc	local_primary_pdf_hashed	new_direct_ready	problem_definition_or_comparison_protocol	IEA37 comparison and ranking protocol	IEA37 case-study-1 three farms and case-study-2 cross-model matrix	t15_iea37_comparison_protocol_v1	t15_iea37_cs1_three_farms_cs2_cross_model_v1	t15_iea37_33layout_full_matrix_v1	REV1	formal_complete	academic benchmark and comparison-protocol reproduction; participant optimizers and private wake models remain outside the paper target
