gap_id	corpus_id	asset_type	paper_provides	missing_field	evidence_ladder_exhausted	selected_completion	completion_semantic_id	claim_effect	status
Y36-G01	Y36	problem	Paper and supplement expose 20x20 grid, objectives, equations, model dimensions, training schedule, and case counts	Original Zhangbei terrain, wind, monitor arrays, and trained checkpoint	yes	Deterministic analytic Zhangbei-family P3 problem plus training from scratch	taae_zhangbei_structured_declared_proxy_v1	No claim of original numerical Zhangbei reproduction	open_implementation
L0608-G01	L0608	problem	Paper exposes three wind conditions, 13 constraint cases, conversion-efficiency objective, and algorithm controls	Complete native wind arrays, land masks, and exact turbine matrix	yes	Paper-derived immutable case generator with figure/table digitization and sensitivity	yu2024_complex_wake_wc1_wc3_p3_v1	Declared P3 native reconstruction only	open
T42-G01	T42	training	Paper and official archive expose PPO equations and executable source	Action step, random seed, and policy lifecycle conflict; source hides some evaluator calls	yes	Train separate paper-faithful and literal source-replay profiles with complete FES ledger	rlpso_train_from_scratch_v1	Paper profile primary; source replay secondary	open_implementation
T45-G01	T45	problem_and_training	Paper exposes 3D Guishan framework, eight scenarios, eight heads, learning rate, and GA controls	Original terrain/wind arrays, attention targets, widths, epochs, masks, and checkpoint	yes	Declared 3D P3 problem and fully frozen deterministic attention-training completion	alga_guishan_3d_declared_proxy_v1	No claim of original Guishan numerical identity	open
T38-G01	T38	protocol	Paper exposes algorithm and 20000-FES native comparison	Existing common campaign uses 24000 FES	yes	Run a separate 20000-FES paper-native campaign	asoc2023_clshade_native_25_v1	Existing 24000-FES row remains interoperability only	open
T46-G01	T46	source	Local MATLAB bundle and paper expose problem and comparators	Several routines are pcode and archive has no redistribution license	yes	Independent C++ reconstruction validated against accessible MATLAB outputs	zhang2025_three_objective	Source behavior is oracle evidence; code is not vendored	open_audit
S04-G01	S04	training	Paper exposes state/action/reward and Q-learning mechanism	Author Q tables and source are unavailable	yes	Regenerate all Q tables from a deterministic training contract	fqfode_train_from_scratch_v1	Training-from-scratch is the primary reproduction	open_implementation
S05-G01	S05	source	Full preprint exposes equations and experiments	Public code is unavailable	yes	Paper-faithful C++ reconstruction	wfadde_preprint_reconstruction_v1	Paper-derived method identity	open_audit
T41-G01	T41	source	Full paper exposes AIGA method and experiments	Public code is unavailable	yes	Paper-faithful C++ reconstruction	aiga_paper_reconstruction_v1	Paper-derived method identity	open_audit
T47-G01	T47	source	Full conference paper exposes compact algorithm	Public code is unavailable	yes	Paper-faithful C++ reconstruction	ciga_paper_reconstruction_v1	Paper-derived method identity	open_audit
S01-G01	S01	conflict	Paper and two local source variants are available	Physical-FES increment and population-reduction direction conflict	yes	Paper-faithful and source-replay profiles	cede_paper_equation_v1;cede_source_replay_v1	Profiles remain separate	open_implementation
S02-G01	S02	conflict	Paper and local source are available	Roulette assignment and memory update conflict	yes	Paper-faithful and source-replay profiles	msshade_paper_equation_v1;msshade_source_replay_v1	Profiles remain separate	open_implementation
Y34-G01	Y34	problem	Paper exposes four nonuniform 4-7-direction scenarios and three turbine scales	Exact wind arrays, field masks, and one budget field remain unresolved	yes	Table/figure-derived P3 case generator and explicit uncertainty sensitivity	lsde_large_wf_ws1_ws4_p3_v1	Declared P3 native reconstruction only	open
T44-G01	T44	problem	Official source provides WS1-WS4 and paper exposes WS5-WS6	Original WS5-WS6 Daegwallyeong arrays are unavailable	yes	Keep official WS1-WS4 source replay and distinct WS5/WS6 P3 composites	bde2025_standard_daegwallyeong	No pooling of source and P3 problem identities	open_implementation
T43-G01	T43	problem_and_method	Paper exposes 16x27 grid, four scenario dimensions, turbine counts, wake equations, and power-law controls	Elevation/wind arrays, manufacturer curve, adaptation definitions, and full transition are unavailable	yes	Corrected M3 algorithm plus 16-case P3 problem	ppga_nantong_structured_3d_declared_reconstruction_v2	No claim of original Nantong numerical identity	open_implementation
Y06-G01	Y06	license	Author GitHub provides code and eight-site assets	No standard license; academic noncommercial notice only	yes	Use source as behavior/problem oracle and retain independent C++ implementation	gga_source_replay_v1	Do not vendor third-party files	open_audit
T36-G01	T36	problem_and_method	Paper exposes Eq.16, biobjective protocol, and comparator set	Original Nysted arrays, routing state, several operator controls, and reference front are unavailable	yes	Same-author GGA assets plus audited router under distinct reconstruction	nysted_paper_eq16_cpu_r4_v2	No claim of original paper-array identity	open_implementation
L0726-G01	L0726	problem_and_method	Paper exposes Anholt scale, 111 turbines, 12 wind bins, geometry mutation, and budget	Boundary, wind arrays, curves, Poisson seed, and GA controls are unavailable	yes	Anholt-structured P3 problem and conventional disclosed GA completion	geoga_anholt_structured_declared_proxy_v1	No claim of original Anholt numerical identity	open_implementation
Y35-G01	Y35	conflict	Paper and local source are available	Several paper/source stage and parameter differences remain	yes	Separate paper-faithful and source-replay profiles	hgpso_paper_reconstruction_v1;hgpso_source_replay_v1	Profiles remain separate	open_implementation
