algorithm_id	display_label	provenance	primary_evidence	paper_doi	effective_semantics_id
fode	FODE	archived_matlab_source	FODE/FODE.m	10.3390/math13020282	fode_e0_physical_fes
aga	AGA	paper_first_archived_matlab_completed	Ju et al. 2019 Steps 1-6 plus AGA source helpers	10.1016/j.apenergy.2019.04.084	aga_paper_first_e0_physical_fes_v1
sugga	SUGGA	archived_matlab_source_and_frozen_surrogate	SUGGA/SUGGA.m	10.1016/j.enconman.2019.06.082	sugga_frozen_surrogate_e0_physical_fes_v1
ise	ISE	paper_derived	Yang et al. 2023 Algorithm 1 and Eq. 17	10.1016/j.engappai.2023.106198	ise_paper_derived_e0_physical_fes_v1
agpso	AGPSO	paper_first_source_completed	Lei et al. 2022 Algorithm 1 and Eq. 21; archived source only fills omissions	10.1016/j.enconman.2022.116174	agpso_paper_staged_parallel_e0_physical_fes_v1
cgpso	CGPSO	paper_first_source_completed	Lei et al. 2023 Algorithm 1; archived source fills chaotic-search details	10.1109/JAS.2023.123387	cgpso_paper_staged_parallel_e0_physical_fes_v1
lshade	LSHADE	paper_first_archived_matlab_completed	Tanabe and Fukunaga 2014 Algorithm 2 plus SHADE memory equations and archived LSHADE.m	10.1109/CEC.2014.6900380	lshade_paper_first_e0_physical_fes_v1
clshade	CLSHADE	paper_derived	Yu et al. 2023 Algorithm 1 and Eqs. 19-29	10.1016/j.asoc.2023.110306	clshade_paper_derived_e0_physical_fes_v1
cede	CEDE	paper_first_local_source_discrepancy_registered	Tao et al. 2024 Algorithm 1 and Eqs. 18-21; local source differences registered separately	10.3390/math12233762	cede_paper_equations_physical_fes_v1
msshade	MS-SHADE	paper_first_local_source_discrepancy_registered	Yang et al. 2024 Algorithm 1 and Eqs. 9-12; local source differences registered separately	10.3390/electronics13163196	msshade_paper_equations_physical_fes_v1
bde	BDE	paper_first_official_source_discrepancy_registered	Li et al. 2025 Eqs. 19-24; official MATLAB source differences registered separately	10.1016/j.energy.2025.137885	bde_paper_equations_physical_fes_v1
bde	BDE WS5/WS6 paper-Imax composite profile	paper_equation_direct_source_resolved	Li et al. 2025 Eqs. 18-27 with Imax 400; official source resolves half-population fusion; declared WS5/WS6 composite problems remain P3	10.1016/j.energy.2025.137885	bde_paper_equations_imax400_exact_fes_v1
hgpso	HGPSO	paper_first_local_source_discrepancy_registered	Zheng et al. 2026 Algorithm 1 and Eqs. 15-22; local MATLAB source differences registered separately	10.26599/tst.2026.9010059	hgpso_paper_equations_physical_fes_v1
aiga	AIGA	paper_derived_explicit_reconstruction	Zheng et al. 2024 Eqs. 10-12 and selected orthogonal-design parameters; omitted operators explicitly reconstructed	10.1007/s42235-024-00498-3	aiga_paper_derived_e0_physical_fes_v1
ciga	CIGA	paper_derived_explicit_reconstruction	Zheng et al. 2025 Eqs. 8-10 and mu=3.9; omitted GA and shrink parameters explicitly reconstructed	10.1145/3766671.3766786	ciga_paper_derived_e0_physical_fes_v1
lsde	LSDE	paper_derived_explicit_reconstruction	Li et al. 2026 Algorithm 1 and Eqs. 13-25; omitted clustering and layer-transition details explicitly reconstructed	10.1049/cit2.70150	lsde_paper_derived_e0_physical_fes_v1
wfadde	WFADDE	preprint_derived_explicit_reconstruction	Shi et al. 2026 Algorithm 1 and Eqs. 10-23; omitted population memory and archive controls explicitly reconstructed	10.2139/ssrn.6135326	wfadde_preprint_derived_e0_physical_fes_v1
alshade	A-LSHADE	paper_derived_explicit_reconstruction	Yu et al. 2024 Algorithm 1 and Eqs. 8-9 layered on registered LSHADE semantics	10.1109/pic62406.2024.10892732	alshade_paper_derived_e0_physical_fes_v1
ppga	PPGA	paper_derived_declared_problem_transfer	Yang et al. 2025 Algorithm 1 Eqs. 11-18 and Table II with all omissions registered before execution	10.1109/jas.2025.125351	ppga_declared_reconstruction_fode_e0_v1
ppga_nantong_structured_3d_declared_reconstruction_v2	PPGA Nantong-structured 3D declared reconstruction v2	target_paper_cited_predecessor_same_author_model_family_and_corrected_declared_P3_M3_completion	Yang et al. 2025 Eq. 18 strict probabilistic gate and per-dimension perturbation; admitted E0 finite-support sampler and offspring-parent stagnation order; Tao et al. 2020 root-sum-square wake composition; unavailable Nantong fields remain declared	10.1109/jas.2025.125351	ppga_nantong_structured_3d_declared_reconstruction_v2
gga	GGA	official_source_derived_repaired_problem_profile	Zhang et al. 2026 GGA geometry operators; official MATLAB source supplies executable routing and stage details; physical-model discrepancies are registered	10.1016/j.apenergy.2026.127895	gga_geometry_repaired_problem_physical_fes_v1
geoga	GeoGA	paper_derived_declared_problem_proxy	Zhang et al. 2025 geometric mutation operators; unavailable Anholt assets are replaced only by a separately declared GGA-asset proxy	10.1109/cbd69312.2025.00059	geoga_declared_reconstruction_v1
tmoea	T-MOEA	paper_derived_same_author_problem_reconstruction	Shao et al. 2026 topology operators; unavailable original assets are reconstructed from same-author Nysted assets under a distinct identity	10.1109/cpeee69412.2026.11521465	tmoea_nysted_gga_asset_reconstruction_v1
tmoea	T-MOEA Nysted Eq.16 corrected CPU R4	declared_completion_on_same_author_problem	Shao et al. 2026 Eqs. 2-3 and 16; omitted controls are explicitly declared and the complete biobjective problem has a distinct semantic identity	10.1109/cpeee69412.2026.11521465	tmoea_nysted_gga_asset_reconstruction_paper_eq16_v2
rlpso_compact_policy_declared_reconstruction_v1	RPSO-derived compact policy proxy	paper_guided_declared_compact_policy_engineering_proxy	Zhang et al. 2024 state/action idea and 0.001 step with a declared seeded linear categorical immediate-reward policy-gradient controller; no critic, Adam, GAE, full PPO, source replay, or RLPSO reproduction claim	10.1016/j.energy.2024.134050	rlpso_compact_policy_declared_reconstruction_v1
rlpso_paper_corrected_training_reconstruction_v1	RPSO paper-corrected seeded PPO reconstruction	paper_corrected_seeded_full_ppo_declared_reconstruction	Zhang et al. 2024 paper PPO objective and 0.001 action step plus official 2-256-64 actor/critic topology; sampled-action log probability, deterministic persistent lifecycle, clear-after-update buffer, complete physical-FES ledger, and learned-state hash are declared corrections	10.1016/j.energy.2024.134050	rlpso_paper_corrected_training_reconstruction_v1
fqfode_seeded_training_declared_reconstruction_v1	FQFODE seeded offline-training reconstruction	paper_guided_citation_predecessor_derived_declared_completion	Wang et al. 2025 Algorithms 2-3 and audited FODE predecessor core; frozen shared WS2tn50 Q-table records declared seeds, 39700 offline physical FES, artifact hash, and formal-run online-state hash	10.3390/math13182935	fqfode_seeded_training_declared_reconstruction_v1
alga_attention_declared_reconstruction_v1	ALGA attention engineering reconstruction	paper_guided_citation_predecessor_derived_declared_completion	Yang et al. 2025 Eqs. 19-24 and Algorithm 1 plus WFLO-GGA AGA commit 6ce41326e6c1d3685a01e038baf6d1d07aa46126; every missing training mask elite and repair field is frozen in a distinct M3 profile	10.1016/j.swevo.2025.102018	alga_attention_declared_reconstruction_v1
taae_transformer_evolution_declared_reconstruction_v1	TAAE bounded end-to-end declared reconstruction	paper_guided_declared_bounded_training_and_evolution_completion	Ma et al. 2026 Transformer and latent-evolution equations; unavailable Zhangbei arrays and author checkpoint are replaced only by a P3 proxy and bounded deterministic training state under a distinct M3 identity	10.1109/jas.2026.126233	taae_transformer_evolution_declared_reconstruction_v1
moead_p	MOEA/D-P	paper_first_local_matlab_bundle_completed	Zhang et al. 2025 Eqs. 1-27 and Section 4.1; readable MATLAB supplies missing radii and operator details; P-code and source defects are explicitly registered	10.1016/j.swevo.2025.101972	moead_p_three_objective_paper_repaired_physical_fes_v1
moead	MOEA/D	canonical_algorithm_reconstruction_shared_problem	The local comparison bundle has no MOEA/D entry point; canonical decomposition, neighborhood mating, and at-most-two Tchebycheff replacements are reconstructed under the paper's parameters	10.1016/j.swevo.2025.101972	moead_three_objective_paper_repaired_physical_fes_v1
nsgaii	NSGA-II	local_matlab_source_derived_repaired_problem	Readable PlatEMO-derived NSGA-II source supplies permutation variation, nondominated sorting, crowding, and environmental selection; shared objective defects are repaired once	10.1016/j.swevo.2025.101972	nsgaii_three_objective_paper_repaired_physical_fes_v1
mopso	MOPSO	local_matlab_source_derived_repaired_state	Readable PlatEMO-derived MOPSO source supplies grid archive and leader rules; persistent velocity state and single initialization repair source defects	10.1016/j.swevo.2025.101972	mopso_three_objective_paper_repaired_physical_fes_v1
morime	MORIME	local_matlab_source_derived_reconstructed_state	Readable local MORIME source supplies RIME factor and archive structure; bounds, leader state, multiobjective quality, and physical-FES defects are explicitly reconstructed	10.1016/j.swevo.2025.101972	morime_three_objective_paper_repaired_physical_fes_v1
armoea	AR-MOEA	platemo_v4_6_authoritative_reconstruction	Local core is P-code; indicator fitness, adaptive reference points, and environmental selection are reconstructed from BIMK PlatEMO commit 31618282f906ddf3c9a9106debfb9a2673cb2158	10.1016/j.swevo.2025.101972	armoea_three_objective_paper_repaired_physical_fes_v1
